# file...... LoadVoltage.csv,,,
"# date...... Sun, April 12","Sun, April 12",12:14:54 2026,
# user...... ,Prajesham Pandey,,
# host...... (null),,,
# target.... load 13,,,
# trigger... (none),,,
# interval.. 1,,,
# limit..... 0,,,
# timestamp,measured_voltage_A,  measured_voltage_B,  measured_voltage_C
2000-01-01 00:00:00 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:01 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:02 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:03 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:04 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:05 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:06 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:07 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:08 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:09 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:10 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:11 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:12 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:13 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:14 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:15 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:16 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:17 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:18 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:19 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:20 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:21 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:22 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:23 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:24 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:25 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:26 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:27 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:28 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:29 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:30 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:31 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:32 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:33 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:34 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:35 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:36 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:37 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:38 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:39 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:40 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:41 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:42 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:43 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:44 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:45 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:46 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:47 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:48 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:49 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:50 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:51 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:52 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:53 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:54 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:55 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:56 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:57 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:58 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
2000-01-01 00:00:59 EST,+2268.3-31.9574d,+2225.82-153.143d,+2232.75+84.1491d
