Time_s,Phase_A,Phase_B,Phase_C
1,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
2,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
3,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
4,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
5,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
6,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
7,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
8,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
9,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
10,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
11,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
12,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
13,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
14,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
15,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
16,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
17,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
18,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
19,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
20,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
21,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
22,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
23,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
24,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
25,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
26,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
27,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
28,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
29,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
30,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
31,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
32,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
33,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
34,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
35,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
36,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
37,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
38,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
39,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
40,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
41,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
42,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
43,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
44,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
45,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
46,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
47,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
48,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
49,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
50,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
51,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
52,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
53,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
54,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
55,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
56,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
57,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
58,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
59,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
60,1902.10541033665-1217.36818028313i,-2007.13436351294-997.539605470639i,192.832766405974+2219.03689467575i
